id,author,title,rating,stock
228,F. Scott Fitzgerald,The Hobbit,3.1,47
229,Agatha Christie,The Handmaid's Tale,3,29
230,Malcolm Gladwell,Foundation,4.1,38
231,Ernest Hemingway,The Adventures of Tom Sawyer,3.5,48
232,J.K. Rowling,The Great Gatsby,3.5,65
233,Margaret Atwood,Pride and Prejudice,4.7,80
234,J.K. Rowling,The Great Gatsby,3.8,42
235,Isaac Asimov,Outliers,3.1,39
236,Dan Brown,Fahrenheit 451,4.5,14
237,C.S. Lewis,The Old Man and the Sea,4.4,85
238,Ernest Hemingway,The Chronicles of Narnia,4.6,52
239,Harper Lee,Murder on the Orient Express,4.3,21
240,Khaled Hosseini,Outliers,3,100
241,Charles Dickens,Fahrenheit 451,3.4,71
242,Jane Austen,The Old Man and the Sea,3.9,30
243,Dan Brown,Angels & Demons,3.6,14
244,F. Scott Fitzgerald,The Hobbit,5,52
245,George R.R. Martin,Oliver Twist,4.8,100
246,Khaled Hosseini,The Adventures of Tom Sawyer,4.6,67
247,Harper Lee,A Game of Thrones,3.6,54
248,Jane Austen,The Great Gatsby,4.7,19
249,George R.R. Martin,The Sorcerer's Stone,4.3,43
250,F. Scott Fitzgerald,A Game of Thrones,4.4,3
251,Malcolm Gladwell,Foundation,4.5,2
252,Jane Austen,The Firm,3.8,42
253,Ray Bradbury,The Adventures of Tom Sawyer,3.8,15
254,Khaled Hosseini,Mrs. Dalloway,4.8,68
255,Dan Brown,The Shining,3.3,3
256,John Grisham,The Sorcerer's Stone,3.6,89
257,Dan Brown,Murder on the Orient Express,3.6,98
258,Charles Dickens,The Old Man and the Sea,4.6,36
259,Khaled Hosseini,The Kite Runner,3.9,1
260,Ray Bradbury,To Kill a Mockingbird,3.2,27
261,J.R.R. Tolkien,Outliers,3.4,63
262,Harper Lee,The Kite Runner,3.8,57
263,C.S. Lewis,Murder on the Orient Express,3.5,44
264,George R.R. Martin,To Kill a Mockingbird,3.3,65
265,Virginia Woolf,Pride and Prejudice,3.8,57
266,Ray Bradbury,The Handmaid's Tale,3.9,29
267,Mark Twain,The Old Man and the Sea,3.9,93
268,Harper Lee,Mrs. Dalloway,4.4,57
269,J.K. Rowling,The Great Gatsby,3,97
270,J.R.R. Tolkien,The Kite Runner,4.4,2
271,Mark Twain,Foundation,4.6,81
272,Agatha Christie,The Kite Runner,3.3,96
273,Harper Lee,The Chronicles of Narnia,4.2,90
274,C.S. Lewis,The Shining,4.5,34
275,Agatha Christie,Murder on the Orient Express,4,2
276,Ernest Hemingway,The Sorcerer's Stone,3.8,49
277,Malcolm Gladwell,Oliver Twist,3.7,58
278,Dan Brown,Pride and Prejudice,3.5,65
279,J.K. Rowling,Murder on the Orient Express,3.5,92
280,J.K. Rowling,Angels & Demons,3.4,21
281,C.S. Lewis,Oliver Twist,3.8,98
282,Harper Lee,To Kill a Mockingbird,3.8,59
283,Charles Dickens,The Shining,3.1,61
284,C.S. Lewis,Murder on the Orient Express,3.1,79
285,Dan Brown,Foundation,4.1,45
286,Mark Twain,Mrs. Dalloway,3.4,3
287,Margaret Atwood,Foundation,4.5,20
288,Jane Austen,Pride and Prejudice,4.1,34
289,Dan Brown,Mrs. Dalloway,3.1,70
290,Isaac Asimov,The Sorcerer's Stone,4.9,36
291,Ray Bradbury,Fahrenheit 451,4.5,74
292,Ernest Hemingway,The Handmaid's Tale,3.8,24
293,Harper Lee,The Shining,3.3,70
294,Ernest Hemingway,The Kite Runner,3.2,59
295,Dan Brown,The Firm,3.4,58
296,Stephen King,The Firm,3.5,6
297,Harper Lee,Outliers,4.9,47
298,Mark Twain,Murder on the Orient Express,3.7,17
299,Khaled Hosseini,The Firm,3.6,20
300,Stephen King,The Hobbit,3.6,61
301,Charles Dickens,Murder on the Orient Express,3.6,30
302,Ernest Hemingway,The Great Gatsby,3.4,82
303,Ernest Hemingway,The Shining,4.3,47
304,F. Scott Fitzgerald,The Shining,3.5,89
305,Virginia Woolf,Murder on the Orient Express,4,70
306,Dan Brown,Mrs. Dalloway,3.8,93
307,J.K. Rowling,The Old Man and the Sea,4.5,70
308,Khaled Hosseini,The Firm,4.8,5
309,George R.R. Martin,Mrs. Dalloway,4.2,100
310,Charles Dickens,The Adventures of Tom Sawyer,3.8,32
311,Agatha Christie,The Hobbit,4.9,48
312,Harper Lee,The Chronicles of Narnia,3.7,93
313,Margaret Atwood,The Kite Runner,4.1,92
314,Harper Lee,The Sorcerer's Stone,4.7,75
315,Khaled Hosseini,The Handmaid's Tale,4.8,60
316,Jane Austen,Fahrenheit 451,4.9,36
317,Charles Dickens,The Sorcerer's Stone,3.6,98
318,Charles Dickens,A Game of Thrones,4.4,58
319,Isaac Asimov,To Kill a Mockingbird,3.1,49
320,Ernest Hemingway,The Firm,3.2,35
321,Jane Austen,The Handmaid's Tale,4,38
322,Stephen King,Outliers,3.2,33
323,Jane Austen,Mrs. Dalloway,3.1,51
324,Agatha Christie,The Chronicles of Narnia,5,76
325,Virginia Woolf,Foundation,4,42
326,Malcolm Gladwell,Outliers,4.7,50
327,George R.R. Martin,The Old Man and the Sea,3.8,96
328,Harper Lee,Foundation,3.4,46
329,Malcolm Gladwell,The Sorcerer's Stone,4.6,7
330,J.R.R. Tolkien,A Game of Thrones,4.7,35
331,Agatha Christie,The Shining,3.1,46
332,Khaled Hosseini,Foundation,3.9,65
333,C.S. Lewis,Foundation,4.4,73
334,Margaret Atwood,The Hobbit,3.7,66
335,Harper Lee,The Adventures of Tom Sawyer,3.9,89
336,Harper Lee,The Adventures of Tom Sawyer,3.7,32
337,Dan Brown,The Old Man and the Sea,4.6,34
338,C.S. Lewis,The Sorcerer's Stone,4.1,27
339,Isaac Asimov,Angels & Demons,3.1,97
340,Jane Austen,Angels & Demons,4.7,65
341,J.R.R. Tolkien,The Old Man and the Sea,3,41
342,Jane Austen,The Chronicles of Narnia,4.5,5
343,George R.R. Martin,Outliers,4.1,97
344,Ernest Hemingway,Oliver Twist,4.7,9
345,F. Scott Fitzgerald,Angels & Demons,3.1,80
346,Harper Lee,The Firm,4.8,49
347,Agatha Christie,The Kite Runner,3.4,20
348,Malcolm Gladwell,Murder on the Orient Express,4.2,71
349,Agatha Christie,Oliver Twist,3.4,17
350,Margaret Atwood,The Hobbit,4.1,36
351,Stephen King,Pride and Prejudice,3.2,29
352,Ernest Hemingway,Pride and Prejudice,3.1,13
353,Margaret Atwood,Pride and Prejudice,3.4,46
354,Khaled Hosseini,The Shining,3.8,8
355,Margaret Atwood,The Chronicles of Narnia,4.8,11
356,F. Scott Fitzgerald,The Chronicles of Narnia,4,20
357,Isaac Asimov,To Kill a Mockingbird,4.3,32
358,F. Scott Fitzgerald,The Shining,4.2,12
359,Margaret Atwood,The Firm,4.1,36
360,Agatha Christie,The Shining,3.2,77
361,Agatha Christie,Outliers,4.4,88
362,George R.R. Martin,The Adventures of Tom Sawyer,4.5,49
363,Jane Austen,To Kill a Mockingbird,4.4,55
364,John Grisham,Pride and Prejudice,4.8,45
365,J.R.R. Tolkien,Outliers,3.1,64
366,Malcolm Gladwell,To Kill a Mockingbird,3.2,69
367,Isaac Asimov,Mrs. Dalloway,3.9,14
368,Malcolm Gladwell,Pride and Prejudice,4.9,44
369,Stephen King,The Great Gatsby,3.8,80
370,Khaled Hosseini,The Chronicles of Narnia,4.5,31
371,Ernest Hemingway,Outliers,4.4,72
372,Mark Twain,To Kill a Mockingbird,3.8,32
373,J.K. Rowling,The Old Man and the Sea,4.9,70
374,Ernest Hemingway,The Hobbit,3.5,57
375,Isaac Asimov,The Handmaid's Tale,3.2,39
376,F. Scott Fitzgerald,The Kite Runner,3.1,32
377,Khaled Hosseini,Oliver Twist,4.5,23
378,George R.R. Martin,Oliver Twist,4.1,45
379,F. Scott Fitzgerald,The Firm,4.1,65
380,Harper Lee,The Sorcerer's Stone,4.3,56
381,Stephen King,Mrs. Dalloway,4.5,84
382,Khaled Hosseini,The Firm,4.8,96
383,Virginia Woolf,Outliers,4,58
384,Stephen King,The Sorcerer's Stone,4.2,12
385,F. Scott Fitzgerald,The Old Man and the Sea,4.4,28
386,J.R.R. Tolkien,The Hobbit,4.6,42
387,Charles Dickens,The Sorcerer's Stone,3.5,23
388,Charles Dickens,The Shining,4.4,78
389,J.R.R. Tolkien,The Old Man and the Sea,4.3,22
390,F. Scott Fitzgerald,The Shining,4,72
391,Harper Lee,Fahrenheit 451,4.4,63
392,Ray Bradbury,A Game of Thrones,4.6,74
393,Malcolm Gladwell,The Kite Runner,3.2,76
394,Stephen King,Mrs. Dalloway,4.8,17
395,C.S. Lewis,Murder on the Orient Express,4.1,53
396,Mark Twain,The Hobbit,3.7,24
397,Ray Bradbury,The Kite Runner,4.9,68
398,Dan Brown,The Adventures of Tom Sawyer,5,86
399,John Grisham,Murder on the Orient Express,4,19
400,Virginia Woolf,A Game of Thrones,3.1,20
401,Dan Brown,Fahrenheit 451,4.9,73
402,John Grisham,The Hobbit,3.3,9
403,J.K. Rowling,The Hobbit,3.6,53
404,Mark Twain,The Sorcerer's Stone,3.5,55
405,J.R.R. Tolkien,The Adventures of Tom Sawyer,4.4,33
406,Virginia Woolf,Pride and Prejudice,4.2,69
407,Harper Lee,Oliver Twist,4.2,53
408,Ernest Hemingway,Pride and Prejudice,3.5,9
409,Ernest Hemingway,The Sorcerer's Stone,4.9,30
410,Margaret Atwood,The Old Man and the Sea,5,19
411,Dan Brown,The Adventures of Tom Sawyer,4.9,65
412,Agatha Christie,The Old Man and the Sea,3.9,96
413,Dan Brown,Mrs. Dalloway,3,5
414,Virginia Woolf,Mrs. Dalloway,3.7,6
415,Charles Dickens,Outliers,4.5,24
416,Margaret Atwood,A Game of Thrones,3.7,66
417,Virginia Woolf,The Adventures of Tom Sawyer,4.1,85
418,Mark Twain,The Kite Runner,3,78
419,George R.R. Martin,Murder on the Orient Express,4.3,38
420,C.S. Lewis,The Firm,4.4,100
421,J.K. Rowling,Outliers,4.6,29
422,John Grisham,Outliers,4.5,31
423,Malcolm Gladwell,The Hobbit,4.2,51
424,Malcolm Gladwell,The Hobbit,4.4,70
425,Khaled Hosseini,Foundation,4.6,22
426,J.R.R. Tolkien,Outliers,4.3,94
427,J.K. Rowling,The Great Gatsby,3.7,4
428,Malcolm Gladwell,The Chronicles of Narnia,3.7,24
429,C.S. Lewis,Pride and Prejudice,4,63
430,Charles Dickens,Foundation,3.6,18
431,Malcolm Gladwell,The Old Man and the Sea,3.5,24
432,Jane Austen,The Chronicles of Narnia,3.5,70
433,J.R.R. Tolkien,Angels & Demons,4.9,75
434,John Grisham,The Hobbit,3.6,59
435,Stephen King,Pride and Prejudice,3.4,39
436,Malcolm Gladwell,The Shining,4.3,18
437,Agatha Christie,Oliver Twist,3.7,51
438,Khaled Hosseini,A Game of Thrones,3.4,68
439,J.K. Rowling,A Game of Thrones,4.5,17
440,Dan Brown,Fahrenheit 451,3.3,52
441,Margaret Atwood,The Hobbit,3.2,60
442,Dan Brown,Foundation,4.5,35
443,J.K. Rowling,The Shining,4.4,6
444,Khaled Hosseini,Pride and Prejudice,4.3,70
445,C.S. Lewis,Angels & Demons,3.4,22
446,Harper Lee,The Sorcerer's Stone,3.3,95
447,Mark Twain,The Great Gatsby,3.7,29
448,F. Scott Fitzgerald,Mrs. Dalloway,4.9,49
449,Khaled Hosseini,The Hobbit,3.6,37
450,F. Scott Fitzgerald,Pride and Prejudice,4.6,47
451,Stephen King,The Firm,4,3
452,Virginia Woolf,The Sorcerer's Stone,4.2,49
453,Mark Twain,The Hobbit,3.6,67
454,F. Scott Fitzgerald,The Chronicles of Narnia,4.2,94
455,Ernest Hemingway,Foundation,4.2,20
456,Mark Twain,Angels & Demons,4.8,66
457,Harper Lee,To Kill a Mockingbird,3.3,47
458,Dan Brown,Foundation,4.3,95
459,Khaled Hosseini,Mrs. Dalloway,4.6,17
460,J.R.R. Tolkien,The Handmaid's Tale,3.9,37
461,George R.R. Martin,The Hobbit,4.1,53
462,Mark Twain,The Adventures of Tom Sawyer,3.1,10
463,Virginia Woolf,The Adventures of Tom Sawyer,3.8,57
464,Charles Dickens,The Chronicles of Narnia,4.4,78
465,J.K. Rowling,The Chronicles of Narnia,4.1,75
466,Khaled Hosseini,Oliver Twist,4.9,83
467,Dan Brown,The Adventures of Tom Sawyer,3.3,99
468,Jane Austen,Murder on the Orient Express,4.4,40
469,Stephen King,The Old Man and the Sea,3.5,53
470,Ernest Hemingway,The Handmaid's Tale,4.1,97
471,J.R.R. Tolkien,Foundation,4.2,89
472,Virginia Woolf,Outliers,4.8,70
473,J.K. Rowling,Outliers,4.7,71
474,F. Scott Fitzgerald,The Handmaid's Tale,3.1,61
475,Jane Austen,The Kite Runner,3.8,72
476,F. Scott Fitzgerald,The Shining,4.7,54
477,Khaled Hosseini,The Firm,3.9,77
478,Charles Dickens,Oliver Twist,4.8,52
479,Isaac Asimov,A Game of Thrones,4.5,37
480,Agatha Christie,Pride and Prejudice,4,90
481,Mark Twain,Pride and Prejudice,4.2,36
482,Dan Brown,The Firm,4.6,18
483,Ray Bradbury,A Game of Thrones,4.1,38
484,Ray Bradbury,Murder on the Orient Express,3.3,31
485,Jane Austen,Pride and Prejudice,4.1,97
486,J.R.R. Tolkien,The Sorcerer's Stone,3.1,53
487,Jane Austen,Fahrenheit 451,3.3,75
488,Malcolm Gladwell,The Hobbit,3.1,71
489,Mark Twain,Mrs. Dalloway,4.6,36
490,Khaled Hosseini,The Chronicles of Narnia,3,48
491,J.R.R. Tolkien,Foundation,4.1,42
492,Margaret Atwood,The Adventures of Tom Sawyer,4.5,17
493,C.S. Lewis,The Sorcerer's Stone,3.8,7
494,Malcolm Gladwell,The Hobbit,3.9,41
495,C.S. Lewis,The Adventures of Tom Sawyer,4.3,81
496,Virginia Woolf,The Old Man and the Sea,3.2,12
497,Virginia Woolf,The Old Man and the Sea,3.5,84
498,Malcolm Gladwell,The Kite Runner,3.5,92
499,Harper Lee,Oliver Twist,4.2,45
500,Jane Austen,Outliers,4.1,5
501,George R.R. Martin,The Kite Runner,4.9,41
502,Isaac Asimov,The Great Gatsby,3.7,79
503,George R.R. Martin,Foundation,4.6,36
504,Agatha Christie,Pride and Prejudice,3.8,47
505,Mark Twain,Fahrenheit 451,4.4,33
506,J.K. Rowling,To Kill a Mockingbird,4.9,58
507,Dan Brown,A Game of Thrones,3.5,42
508,Agatha Christie,To Kill a Mockingbird,4.4,85
509,J.K. Rowling,Oliver Twist,4.9,81
510,Agatha Christie,To Kill a Mockingbird,3.9,90
511,Virginia Woolf,The Shining,4.2,11
512,Stephen King,The Old Man and the Sea,3.2,9
513,George R.R. Martin,Oliver Twist,3.4,14
514,Ray Bradbury,Murder on the Orient Express,3.7,69
515,J.K. Rowling,Angels & Demons,3.2,45
516,Jane Austen,Mrs. Dalloway,3.3,51
517,Ray Bradbury,The Great Gatsby,3.7,90
518,Ernest Hemingway,The Handmaid's Tale,3.4,32
519,C.S. Lewis,The Old Man and the Sea,3.4,87
520,Jane Austen,Pride and Prejudice,3.2,78
521,Isaac Asimov,The Shining,3.1,40
522,Mark Twain,Oliver Twist,4,94
523,Jane Austen,The Chronicles of Narnia,4.6,28
524,Margaret Atwood,Oliver Twist,3.2,4
525,Virginia Woolf,The Shining,4.1,89
526,F. Scott Fitzgerald,A Game of Thrones,3.1,21
527,Virginia Woolf,Murder on the Orient Express,4.2,61
528,Harper Lee,Angels & Demons,3.4,14
529,Virginia Woolf,The Chronicles of Narnia,4,42
530,J.R.R. Tolkien,The Old Man and the Sea,3.5,56
531,Ernest Hemingway,The Chronicles of Narnia,3.7,28
532,Agatha Christie,The Hobbit,4.8,23
533,Harper Lee,Oliver Twist,3.5,44
534,Harper Lee,Outliers,3.5,84
535,Isaac Asimov,Angels & Demons,4.1,71
536,Margaret Atwood,The Kite Runner,4.6,93
537,Agatha Christie,To Kill a Mockingbird,3.2,49
538,F. Scott Fitzgerald,A Game of Thrones,4.8,27
539,Ernest Hemingway,Fahrenheit 451,4.4,59
540,Stephen King,The Kite Runner,4.4,10
541,J.R.R. Tolkien,The Firm,4.5,43
542,C.S. Lewis,The Kite Runner,3.9,19
543,J.K. Rowling,A Game of Thrones,3.3,42
